authors,doi,loadDate,openAccess,pages,pii,publicationDate,sourceTitle,title,uri,volumeIssue
"Shin Foong Ngiow, Sasikanth Manne, E. John Wherry",10.1016/j.cell.2024.07.018,2024-08-08T00:00:00.000Z,False,4336,S0092867424007785,2024-08-08,Cell,LAG-3 sustains TOX expression and regulates the CD94/NKG2-Qa-1b axis to govern exhausted CD8 T cell NK receptor expression and cytotoxicity,https://www.sciencedirect.com/science/article/pii/S0092867424007785?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Hao Chang, Matthew H. Perkins, Ivan E. de Araujo",10.1016/j.cell.2024.07.019,2024-08-08T00:00:00.000Z,True,,S0092867424007797,2024-08-08,Cell,Stress-sensitive neural circuits change the gut microbiome via duodenal glands,https://www.sciencedirect.com/science/article/pii/S0092867424007797?dgcid=api_sd_search-api-endpoint,
"Gonazalo Moratorio, Sannula Kesavardhana, Shuo Su",10.1016/j.cell.2024.07.024,2024-08-06T00:00:00.000Z,False,,S0092867424007840,2024-08-06,Cell,H5N1 influenza: Urgent questions and directions,https://www.sciencedirect.com/science/article/pii/S0092867424007840?dgcid=api_sd_search-api-endpoint,
"Xiuzhen Chen, Mervin M. Fansler, Christine Mayr",10.1016/j.cell.2024.07.015,2024-08-05T00:00:00.000Z,False,,S009286742400775X,2024-08-05,Cell,The FXR1 network acts as a signaling scaffold for actomyosin remodeling,https://www.sciencedirect.com/science/article/pii/S009286742400775X?dgcid=api_sd_search-api-endpoint,
"Michael Mihlan, Stefanie Wissmann, Tim Lämmermann",10.1016/j.cell.2024.07.014,2024-08-02T00:00:00.000Z,True,,S0092867424007748,2024-08-02,Cell,"Neutrophil trapping and nexocytosis, mast cell-mediated processes for inflammatory signal relay",https://www.sciencedirect.com/science/article/pii/S0092867424007748?dgcid=api_sd_search-api-endpoint,
"Digvijay Singh, Neelesh Soni, Elizabeth Villa",10.1016/j.cell.2024.07.020,2024-08-09T00:00:00.000Z,True,,S0092867424007803,2024-08-09,Cell,The molecular architecture of the nuclear basket,https://www.sciencedirect.com/science/article/pii/S0092867424007803?dgcid=api_sd_search-api-endpoint,
"Mikolaj Ogrodnik, Juan Carlos Acosta, Marco Demaria",10.1016/j.cell.2024.05.059,2024-08-08T00:00:00.000Z,True,4150,S0092867424006408,2024-08-08,Cell,Guidelines for minimal information on cellular senescence experimentation <ce:italic>in vivo</ce:italic>,https://www.sciencedirect.com/science/article/pii/S0092867424006408?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Anthony R. Cillo, Carly Cardello, Dario A. A. Vignali",10.1016/j.cell.2024.06.036,2024-08-08T00:00:00.000Z,False,4373,S0092867424007104,2024-08-08,Cell,Blockade of LAG-3 and PD-1 leads to co-expression of cytotoxic and exhaustion gene modules in CD8<ce:sup loc=post>+</ce:sup> T cells to promote antitumor immunity,https://www.sciencedirect.com/science/article/pii/S0092867424007104?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Courtney T. Kureshi, Michael Dougan, Stephanie K. Dougan",10.1016/j.cell.2024.07.004,2024-08-08T00:00:00.000Z,False,4144,S0092867424007645,2024-08-08,Cell,Anti-LAG-3 boosts CD8 T cell effector function,https://www.sciencedirect.com/science/article/pii/S0092867424007645?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Ruth J. Parsons, Priyamvada Acharya",10.1016/j.cell.2024.07.007,2024-08-08T00:00:00.000Z,False,4147,S0092867424007670,2024-08-08,Cell,Prying the lid open: Atomic-level insights on sialoglycan-TMPRSS2 coordination in HKU1 entry,https://www.sciencedirect.com/science/article/pii/S0092867424007670?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Isabela Alvim, Carolina Silva-Carvalho, Eduardo Tarazona-Santos",10.1016/j.cell.2024.07.009,2024-08-08T00:00:00.000Z,False,,S0092867424007694,2024-08-08,Cell,The need to diversify genomic studies: Insights from Andean highlanders and Amazonians,https://www.sciencedirect.com/science/article/pii/S0092867424007694?dgcid=api_sd_search-api-endpoint,
"Lawrence P. Andrews, Samuel C. Butler, Dario A. A. Vignali",10.1016/j.cell.2024.07.016,2024-08-08T00:00:00.000Z,False,4355,S0092867424007761,2024-08-08,Cell,LAG-3 and PD-1 synergize on CD8<ce:sup loc=post>+</ce:sup> T cells to drive T cell exhaustion and hinder autocrine IFN-γ-dependent anti-tumor immunity,https://www.sciencedirect.com/science/article/pii/S0092867424007761?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Shin Foong Ngiow, Sasikanth Manne, E. John Wherry",10.1016/j.cell.2024.07.018,2024-08-08T00:00:00.000Z,False,4336,S0092867424007785,2024-08-08,Cell,LAG-3 sustains TOX expression and regulates the CD94/NKG2-Qa-1b axis to govern exhausted CD8 T cell NK receptor expression and cytotoxicity,https://www.sciencedirect.com/science/article/pii/S0092867424007785?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Hao Chang, Matthew H. Perkins, Ivan E. de Araujo",10.1016/j.cell.2024.07.019,2024-08-08T00:00:00.000Z,True,,S0092867424007797,2024-08-08,Cell,Stress-sensitive neural circuits change the gut microbiome via duodenal glands,https://www.sciencedirect.com/science/article/pii/S0092867424007797?dgcid=api_sd_search-api-endpoint,
"Gonazalo Moratorio, Sannula Kesavardhana, Shuo Su",10.1016/j.cell.2024.07.024,2024-08-06T00:00:00.000Z,False,,S0092867424007840,2024-08-06,Cell,H5N1 influenza: Urgent questions and directions,https://www.sciencedirect.com/science/article/pii/S0092867424007840?dgcid=api_sd_search-api-endpoint,
"Xiuzhen Chen, Mervin M. Fansler, Christine Mayr",10.1016/j.cell.2024.07.015,2024-08-05T00:00:00.000Z,False,,S009286742400775X,2024-08-05,Cell,The FXR1 network acts as a signaling scaffold for actomyosin remodeling,https://www.sciencedirect.com/science/article/pii/S009286742400775X?dgcid=api_sd_search-api-endpoint,
"Michael Mihlan, Stefanie Wissmann, Tim Lämmermann",10.1016/j.cell.2024.07.014,2024-08-02T00:00:00.000Z,True,,S0092867424007748,2024-08-02,Cell,"Neutrophil trapping and nexocytosis, mast cell-mediated processes for inflammatory signal relay",https://www.sciencedirect.com/science/article/pii/S0092867424007748?dgcid=api_sd_search-api-endpoint,
"Juntao Yu, Yujie Zhang, Danesh Moazed",10.1016/j.cell.2024.07.006,2024-08-01T00:00:00.000Z,True,,S0092867424007669,2024-08-01,Cell,A replisome-associated histone H3-H4 chaperone required for epigenetic inheritance,https://www.sciencedirect.com/science/article/pii/S0092867424007669?dgcid=api_sd_search-api-endpoint,
"Mari-Lee Odendaal, Wouter A. A. de Steenhuijsen Piters, Thijs Bosch",10.1016/j.cell.2024.07.008,2024-08-01T00:00:00.000Z,True,,S0092867424007682,2024-08-01,Cell,Host and environmental factors shape upper airway microbiota and respiratory health across the human lifespan,https://www.sciencedirect.com/science/article/pii/S0092867424007682?dgcid=api_sd_search-api-endpoint,
"Furong Liu, Zhenlin Yang, Brian J. Staskawicz",10.1016/j.cell.2024.07.013,2024-08-01T00:00:00.000Z,False,,S0092867424007736,2024-08-01,Cell,Activation of the helper NRC4 immune receptor forms a hexameric resistosome,https://www.sciencedirect.com/science/article/pii/S0092867424007736?dgcid=api_sd_search-api-endpoint,
"Sebastian Jespersen Charlton, Valentin Flury, Geneviève Thon",10.1016/j.cell.2024.07.017,2024-08-01T00:00:00.000Z,True,,S0092867424007773,2024-08-01,Cell,The fork protection complex promotes parental histone recycling and epigenetic memory,https://www.sciencedirect.com/science/article/pii/S0092867424007773?dgcid=api_sd_search-api-endpoint,
"Jiawei Shao, Xinyuan Qiu, Mingqi Xie",10.1016/j.cell.2024.07.001,2024-07-31T00:00:00.000Z,True,,S0092867424007165,2024-07-31,Cell,Multi-layered computational gene networks by engineered tristate logics,https://www.sciencedirect.com/science/article/pii/S0092867424007165?dgcid=api_sd_search-api-endpoint,
"Huixin Xu, Peter Lotfy, Maria K. Lehtinen",10.1016/j.cell.2024.07.002,2024-07-31T00:00:00.000Z,True,,S0092867424007177,2024-07-31,Cell,The choroid plexus synergizes with immune cells during neuroinflammation,https://www.sciencedirect.com/science/article/pii/S0092867424007177?dgcid=api_sd_search-api-endpoint,
"Shirsha Saha, Basavraj Khanppnavar, Arun K. Shukla",10.1016/j.cell.2024.07.005,2024-07-31T00:00:00.000Z,True,,S0092867424007657,2024-07-31,Cell,Molecular mechanism of distinct chemokine engagement and functional divergence of the human Duffy antigen receptor,https://www.sciencedirect.com/science/article/pii/S0092867424007657?dgcid=api_sd_search-api-endpoint,
"Digvijay Singh, Neelesh Soni, Elizabeth Villa",10.1016/j.cell.2024.07.020,2024-08-09T00:00:00.000Z,True,,S0092867424007803,2024-08-09,Cell,The molecular architecture of the nuclear basket,https://www.sciencedirect.com/science/article/pii/S0092867424007803?dgcid=api_sd_search-api-endpoint,
"Mikolaj Ogrodnik, Juan Carlos Acosta, Marco Demaria",10.1016/j.cell.2024.05.059,2024-08-08T00:00:00.000Z,True,4150,S0092867424006408,2024-08-08,Cell,Guidelines for minimal information on cellular senescence experimentation <ce:italic>in vivo</ce:italic>,https://www.sciencedirect.com/science/article/pii/S0092867424006408?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Anthony R. Cillo, Carly Cardello, Dario A. A. Vignali",10.1016/j.cell.2024.06.036,2024-08-08T00:00:00.000Z,False,4373,S0092867424007104,2024-08-08,Cell,Blockade of LAG-3 and PD-1 leads to co-expression of cytotoxic and exhaustion gene modules in CD8<ce:sup loc=post>+</ce:sup> T cells to promote antitumor immunity,https://www.sciencedirect.com/science/article/pii/S0092867424007104?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Courtney T. Kureshi, Michael Dougan, Stephanie K. Dougan",10.1016/j.cell.2024.07.004,2024-08-08T00:00:00.000Z,False,4144,S0092867424007645,2024-08-08,Cell,Anti-LAG-3 boosts CD8 T cell effector function,https://www.sciencedirect.com/science/article/pii/S0092867424007645?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Ruth J. Parsons, Priyamvada Acharya",10.1016/j.cell.2024.07.007,2024-08-08T00:00:00.000Z,False,4147,S0092867424007670,2024-08-08,Cell,Prying the lid open: Atomic-level insights on sialoglycan-TMPRSS2 coordination in HKU1 entry,https://www.sciencedirect.com/science/article/pii/S0092867424007670?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Isabela Alvim, Carolina Silva-Carvalho, Eduardo Tarazona-Santos",10.1016/j.cell.2024.07.009,2024-08-08T00:00:00.000Z,False,,S0092867424007694,2024-08-08,Cell,The need to diversify genomic studies: Insights from Andean highlanders and Amazonians,https://www.sciencedirect.com/science/article/pii/S0092867424007694?dgcid=api_sd_search-api-endpoint,
"Lawrence P. Andrews, Samuel C. Butler, Dario A. A. Vignali",10.1016/j.cell.2024.07.016,2024-08-08T00:00:00.000Z,False,4355,S0092867424007761,2024-08-08,Cell,LAG-3 and PD-1 synergize on CD8<ce:sup loc=post>+</ce:sup> T cells to drive T cell exhaustion and hinder autocrine IFN-γ-dependent anti-tumor immunity,https://www.sciencedirect.com/science/article/pii/S0092867424007761?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Shin Foong Ngiow, Sasikanth Manne, E. John Wherry",10.1016/j.cell.2024.07.018,2024-08-08T00:00:00.000Z,False,4336,S0092867424007785,2024-08-08,Cell,LAG-3 sustains TOX expression and regulates the CD94/NKG2-Qa-1b axis to govern exhausted CD8 T cell NK receptor expression and cytotoxicity,https://www.sciencedirect.com/science/article/pii/S0092867424007785?dgcid=api_sd_search-api-endpoint,"Volume 187, Issue 16"
"Hao Chang, Matthew H. Perkins, Ivan E. de Araujo",10.1016/j.cell.2024.07.019,2024-08-08T00:00:00.000Z,True,,S0092867424007797,2024-08-08,Cell,Stress-sensitive neural circuits change the gut microbiome via duodenal glands,https://www.sciencedirect.com/science/article/pii/S0092867424007797?dgcid=api_sd_search-api-endpoint,
"Gonazalo Moratorio, Sannula Kesavardhana, Shuo Su",10.1016/j.cell.2024.07.024,2024-08-06T00:00:00.000Z,False,,S0092867424007840,2024-08-06,Cell,H5N1 influenza: Urgent questions and directions,https://www.sciencedirect.com/science/article/pii/S0092867424007840?dgcid=api_sd_search-api-endpoint,
"Xiuzhen Chen, Mervin M. Fansler, Christine Mayr",10.1016/j.cell.2024.07.015,2024-08-05T00:00:00.000Z,False,,S009286742400775X,2024-08-05,Cell,The FXR1 network acts as a signaling scaffold for actomyosin remodeling,https://www.sciencedirect.com/science/article/pii/S009286742400775X?dgcid=api_sd_search-api-endpoint,
"Michael Mihlan, Stefanie Wissmann, Tim Lämmermann",10.1016/j.cell.2024.07.014,2024-08-02T00:00:00.000Z,True,,S0092867424007748,2024-08-02,Cell,"Neutrophil trapping and nexocytosis, mast cell-mediated processes for inflammatory signal relay",https://www.sciencedirect.com/science/article/pii/S0092867424007748?dgcid=api_sd_search-api-endpoint,
"Juntao Yu, Yujie Zhang, Danesh Moazed",10.1016/j.cell.2024.07.006,2024-08-01T00:00:00.000Z,True,,S0092867424007669,2024-08-01,Cell,A replisome-associated histone H3-H4 chaperone required for epigenetic inheritance,https://www.sciencedirect.com/science/article/pii/S0092867424007669?dgcid=api_sd_search-api-endpoint,
"Mari-Lee Odendaal, Wouter A. A. de Steenhuijsen Piters, Thijs Bosch",10.1016/j.cell.2024.07.008,2024-08-01T00:00:00.000Z,True,,S0092867424007682,2024-08-01,Cell,Host and environmental factors shape upper airway microbiota and respiratory health across the human lifespan,https://www.sciencedirect.com/science/article/pii/S0092867424007682?dgcid=api_sd_search-api-endpoint,
"Furong Liu, Zhenlin Yang, Brian J. Staskawicz",10.1016/j.cell.2024.07.013,2024-08-01T00:00:00.000Z,False,,S0092867424007736,2024-08-01,Cell,Activation of the helper NRC4 immune receptor forms a hexameric resistosome,https://www.sciencedirect.com/science/article/pii/S0092867424007736?dgcid=api_sd_search-api-endpoint,
